,City,Country,Lat,Lon,Temp,Cloudiness(%),Windspeed,Humidity,Max Temp,Date
113,Diffa,NE,13.32,12.61,76.33,1,9.75,18,76.33,1586917516
114,Hilo,US,19.73,-155.09,74.16,75,9.17,69,78.8,1586917846
115,Te Anau,NZ,-45.42,167.72,52.18,93,4.12,54,52.18,1586917477
116,Albany,US,42.6,-73.97,39.6,90,5.19,33,44.6,1586917702
117,Ayr,GB,55.46,-4.63,37.51,20,3.36,86,41.0,1586917847
118,Thongwa,MM,16.76,96.53,82.4,40,3.36,83,82.4,1586917847
119,Takoradze,GH,4.88,-1.76,81.14,62,5.55,84,81.14,1586917354
120,Mossamedes,AO,-15.2,12.15,73.98,30,5.26,71,73.98,1586917847
121,Nizwá,OM,22.93,57.53,77.58,31,0.6,34,77.58,1586917847
122,Chapais,CA,49.78,-74.85,23.0,40,5.82,73,23.0,1586917848
123,Ilo,PE,-17.64,-71.34,70.77,34,4.99,73,70.77,1586917719
124,Panguipulli,CL,-39.63,-72.33,52.5,99,3.36,100,53.01,1586917848
125,Marsh Harbour,BS,26.54,-77.06,76.32,92,15.61,86,76.32,1586917848
126,Praia,CV,14.92,-23.51,69.8,66,23.04,77,69.8,1586917726
127,Yambio,SS,4.57,28.4,70.18,99,4.29,72,70.18,1586917849
128,Cape Town,ZA,-33.93,18.42,59.5,100,6.93,87,62.01,1586917579
129,Hamilton,US,39.18,-84.53,35.28,1,5.08,38,39.2,1586917554
130,Yulara,AU,-25.24,130.99,86.0,0,6.93,13,86.0,1586917849
131,Kavieng,PG,-2.57,150.8,83.25,55,6.76,74,83.25,1586917849
132,Grindavik,IS,63.84,-22.43,36.46,75,23.04,93,37.4,1586917268
133,Tuktoyaktuk,CA,69.45,-133.04,24.8,40,5.82,85,24.8,1586917849
134,Bethel,US,41.37,-73.41,48.2,90,6.93,77,51.8,1586917288
135,Tarpon Springs,US,28.15,-82.76,78.53,1,4.7,88,80.6,1586917850
136,Ampanihy,MG,-24.7,44.75,73.38,0,4.99,65,73.38,1586917850
137,Vágur,FO,61.47,-6.81,46.08,93,25.95,90,46.08,1586917850
138,Tignère,CM,7.37,12.65,70.52,80,2.19,45,70.52,1586917850
139,East London,ZA,-33.02,27.91,64.9,97,8.19,72,64.9,1586917850
140,Osoyoos,CA,49.03,-119.45,51.69,90,4.7,62,59.0,1586917850
141,Wasilla,US,61.58,-149.44,48.22,90,0.83,76,50.0,1586917604
142,Fort Nelson,CA,58.81,-122.7,42.8,75,4.7,74,42.8,1586917851
143,Quepos,CR,9.42,-84.17,73.4,20,5.82,78,73.4,1586917851
144,Måløy,NO,61.94,5.11,41.18,100,8.05,93,42.8,1586917781
145,New Norfolk,AU,-42.78,147.06,58.42,90,2.24,77,61.0,1586917851
146,Dhanaula,IN,30.28,75.58,88.23,100,8.12,16,88.23,1586917851
147,Santiago,CL,-33.46,-70.65,62.6,19,8.05,45,62.6,1586917852
148,Kamen'-na-Obi,RU,53.79,81.34,43.52,96,7.18,80,43.52,1586917852
149,Morros,BR,-9.45,-46.3,69.6,100,7.7,84,69.6,1586917852
150,Bluff,NZ,-46.6,168.33,46.99,100,3.0,95,46.99,1586917852
151,Katsuura,JP,35.13,140.3,61.38,75,5.82,58,66.99,1586917852
152,Mar del Plata,AR,-38.0,-57.56,59.31,75,12.75,76,60.01,1586917765
153,Khatanga,RU,71.97,102.5,3.47,53,4.16,90,3.47,1586917853
154,Hong Kong,HK,22.29,114.16,73.51,20,5.82,56,75.99,1586917777
155,Alghero,IT,40.56,8.32,55.4,0,6.93,87,55.4,1586917740
156,Kaitangata,NZ,-46.28,169.85,51.17,100,10.0,70,52.0,1586917853
157,Visby,SE,57.64,18.3,41.86,100,13.87,86,43.0,1586917744
158,Malayal,PH,7.21,121.94,84.2,20,6.93,83,84.2,1586917854
159,Dhidhdhoo,MV,6.88,73.1,85.24,81,4.65,64,85.24,1586917854
160,Arroyo de la Encomienda,ES,41.61,-4.8,49.73,20,6.93,93,52.0,1586917854
161,Mambajao,PH,9.25,124.72,81.1,13,5.61,74,81.1,1586917854
162,Kiama,AU,-34.68,150.87,77.34,74,9.17,32,82.4,1586917276
163,Gigmoto,PH,13.78,124.39,80.78,10,10.92,81,80.78,1586917855
164,Longyearbyen,SJ,78.22,15.64,32.0,75,24.16,93,32.0,1586917855
165,Asău,RO,46.43,26.4,32.58,57,5.82,80,34.0,1586917601
166,Maxixe,MZ,-23.86,35.35,75.52,8,8.95,86,75.52,1586917348
167,Cayenne,GF,4.93,-52.33,77.0,90,5.28,88,77.0,1586917855
168,Murray Bridge,AU,-35.12,139.27,77.2,100,5.01,28,78.01,1586917856
169,La Crosse,US,43.8,-91.24,26.6,75,13.87,58,28.99,1586917763
170,Yangi Marg`ilon,UZ,40.43,71.72,51.8,75,9.17,87,51.8,1586917437
171,Xuanzhou,CN,30.95,118.76,70.79,13,7.65,48,70.79,1586917856
172,Gubin,PL,51.95,14.73,38.26,87,3.0,69,39.0,1586917856
173,Tautira,PF,-17.73,-149.15,86.0,6,16.11,74,86.0,1586917261
174,Bonavista,CA,48.65,-53.11,39.99,63,14.83,82,39.99,1586917677
175,Russell,US,32.35,-85.2,60.62,1,6.93,87,66.0,1586917857
176,Kruisfontein,ZA,-34.0,24.73,55.04,0,5.64,83,55.04,1586917857
177,Karasjok,NO,69.47,25.51,32.0,100,25.28,96,32.0,1586917857
178,Frontera,MX,26.93,-101.45,61.0,8,10.25,57,61.0,1586917857
179,Lompoc,US,34.64,-120.46,62.04,1,9.17,82,64.99,1586917857
180,Lashio,MM,22.93,97.75,88.63,49,2.21,20,88.63,1586917858
181,San Jerónimo,PE,-11.95,-75.28,48.43,61,1.59,27,48.43,1586917858
182,Ancud,CL,-41.87,-73.82,50.0,75,13.87,100,50.0,1586917462
183,Shilka,RU,51.85,116.03,50.94,100,11.65,34,50.94,1586917846
184,Camacha,PT,33.08,-16.33,59.76,20,17.22,72,60.8,1586917058
185,Pitimbu,BR,-7.47,-34.81,77.0,20,2.24,88,77.0,1586917858
186,Clyde River,CA,70.47,-68.59,-2.2,1,3.36,91,-2.2,1586917858
187,Saint-Louis,SN,16.33,-15.0,72.36,70,13.15,38,72.36,1586917859
188,Comodoro Rivadavia,AR,-45.87,-67.5,46.4,61,2.24,75,46.4,1586917859
189,Fairbanks,US,64.84,-147.72,48.2,20,3.36,45,48.2,1586917158
190,Mahon,ES,39.89,4.27,53.6,5,5.82,93,53.6,1586917859
191,Raudeberg,NO,61.99,5.14,41.77,100,8.05,93,42.8,1586917859
192,Pangkalanbuun,ID,-2.68,111.62,85.98,68,0.89,75,85.98,1586917518
193,Faya,SA,18.39,42.45,61.7,40,11.41,87,62.6,1586917859
194,Puerto Colombia,CO,10.99,-74.95,80.6,0,6.93,78,80.6,1586917860
195,Niamey,NE,13.51,2.11,91.4,31,3.36,18,91.4,1586917860
196,Lavrentiya,RU,65.58,-171.0,29.71,100,10.25,98,29.71,1586917860
197,Kralendijk,BQ,12.15,-68.27,80.6,1,11.41,74,80.6,1586917811
198,Iracoubo,GF,5.48,-53.2,77.22,83,8.34,81,77.22,1586917860
199,Taltal,CL,-25.4,-70.48,58.41,4,1.72,77,58.41,1586917861
200,Wiarton,CA,44.74,-81.13,29.41,75,6.93,68,30.99,1586917861
201,Pisco,PE,-13.7,-76.22,70.92,40,8.05,78,71.6,1586917861
202,Snezhnogorsk,RU,69.19,33.25,32.0,40,2.24,88,32.0,1586917861
203,Iqaluit,CA,63.75,-68.51,15.39,75,10.29,61,15.8,1586917861
204,Saskylakh,RU,71.92,114.08,0.16,99,11.99,91,0.16,1586917862
205,Manicoré,BR,-5.81,-61.3,75.2,75,2.24,100,75.2,1586917862
206,Dikson,RU,73.51,80.55,7.92,40,8.86,92,7.92,1586917862
207,Washougal,US,45.58,-122.35,61.21,1,6.93,37,66.2,1586917710
208,Gorontalo,ID,0.54,123.06,87.12,79,1.81,65,87.12,1586917862
209,Linxia Chengguanzhen,CN,35.6,103.21,64.58,3,4.99,13,64.58,1586917862
210,Obihiro,JP,42.92,143.2,39.2,75,3.36,60,39.2,1586917863
211,Iquitos,PE,-3.75,-73.25,80.6,10,2.24,78,80.6,1586917062
212,Santa Maria,BR,-29.68,-53.81,57.2,0,8.05,71,57.2,1586917863
213,São João da Barra,BR,-21.64,-41.05,74.59,44,17.63,82,74.59,1586917863
214,Mehamn,NO,71.04,27.85,34.18,100,9.53,89,34.18,1586917480
215,Gogrial,SS,8.53,28.1,77.52,11,3.62,15,77.52,1586917863
216,Kholtoson,RU,50.3,103.31,42.62,24,7.34,34,42.62,1586917864
217,Doumé,CM,4.23,13.45,71.01,82,1.03,72,71.01,1586917864
218,Rawson,AR,-43.3,-65.1,58.53,88,13.06,60,58.53,1586917864
219,Xining,CN,36.62,101.77,60.26,12,2.06,12,60.26,1586917840
220,Kamina,CD,-8.74,24.99,66.38,100,1.1,69,66.38,1586917864
221,Vardø,NO,70.37,31.11,36.25,100,11.9,89,36.25,1586917864
222,Aden,YE,12.78,45.04,81.39,60,14.47,82,81.39,1586917232
223,Bathsheba,BB,13.22,-59.52,80.6,40,16.11,69,80.6,1586917866
224,Andújar,ES,38.04,-4.05,57.0,60,1.99,71,57.0,1586917624
225,Saldanha,ZA,-33.01,17.94,59.72,100,6.64,89,59.72,1586917866
226,Mlonggo,ID,-6.53,110.7,87.8,20,10.29,70,87.8,1586917866
227,San Vicente,AR,-26.62,-54.13,45.41,0,1.43,83,45.41,1586917866
228,Champerico,GT,14.3,-91.92,83.62,99,4.03,71,83.62,1586917866
229,Kahului,US,20.89,-156.47,74.77,40,4.7,65,80.6,1586917278
230,Bengkulu,ID,-3.8,102.27,85.01,92,1.14,71,85.01,1586917867
231,Sitka,US,57.05,-135.33,46.96,90,0.94,87,50.0,1586917867
232,Oksovskiy,RU,62.61,39.9,33.26,100,2.93,93,33.26,1586917867
233,Gawler,AU,-34.6,138.73,78.49,100,14.99,15,80.6,1586917867
234,Pevek,RU,69.7,170.31,13.5,27,2.48,91,13.5,1586917867
235,Broome,US,42.25,-75.83,39.81,90,13.87,59,43.0,1586917305
236,Durango,MX,24.83,-104.83,60.94,89,7.81,12,60.94,1586917686
237,Lagoa,PT,39.05,-27.98,56.07,67,20.36,65,56.07,1586917364
238,Naze,JP,28.37,129.48,68.92,75,9.17,56,69.8,1586917868
239,Talcahuano,CL,-36.72,-73.12,55.4,98,3.36,82,55.4,1586917868
240,Hobyo,SO,5.35,48.53,83.53,54,10.36,76,83.53,1586917283
241,Moose Jaw,CA,50.4,-105.53,27.23,20,6.93,32,28.99,1586917869
242,North Bend,US,43.41,-124.22,51.76,1,18.34,81,55.0,1586917869
243,Nantucket,US,41.28,-70.1,46.36,1,8.05,81,48.2,1586917595
244,Mosquera,CO,4.71,-74.23,55.4,52,4.7,87,55.4,1586917869
245,Biskamzha,RU,53.45,89.53,47.21,35,1.25,53,47.21,1586917870
246,Evensk,RU,61.95,159.23,24.39,7,3.83,88,24.39,1586917870
247,Santiago de Cao,PE,-7.96,-79.24,73.71,11,7.45,77,73.71,1586917870
248,Coahuayana Viejo,MX,18.73,-103.68,71.62,99,1.41,72,71.62,1586917870
249,Port Elizabeth,ZA,-33.92,25.57,59.0,75,8.05,100,59.0,1586917712
250,Kristinestad,FI,62.27,21.38,33.84,100,7.76,96,33.84,1586917870
251,Lorengau,PG,-2.02,147.27,85.55,69,1.86,64,85.55,1586917871
252,Ankang,CN,32.68,109.02,76.73,47,2.1,33,76.73,1586917871
253,Narsaq,GL,60.92,-46.05,28.4,97,6.93,46,28.4,1586917871
254,São Lourenço do Sul,BR,-31.37,-51.98,59.0,29,3.0,72,59.0,1586917871
255,Salinas,US,36.68,-121.66,63.09,1,8.05,59,72.0,1586917871
256,Dafeng,CN,23.45,108.59,74.93,82,5.66,54,74.93,1586917871
257,Soyo,AO,-6.13,12.37,79.43,87,4.79,89,79.43,1586917437
258,Bratsk,RU,56.13,101.61,50.0,0,2.24,29,50.0,1586917872
259,Lebu,CL,-37.62,-73.65,55.45,100,1.99,70,55.45,1586917872
260,Henties Bay,NA,-22.12,14.28,57.0,0,1.99,93,57.0,1586917872
261,Karratha,AU,-20.74,116.85,89.91,21,3.22,44,89.91,1586917284
262,Buchanan,LR,5.88,-10.05,78.8,20,2.62,94,78.8,1586917872
263,Kibala,TD,9.11,18.35,83.46,85,3.11,29,83.46,1586917873
264,Cidreira,BR,-30.18,-50.21,61.21,42,20.65,73,61.21,1586917873
265,Okha,RU,53.57,142.95,30.97,100,11.27,94,30.97,1586917873
266,Moerai,PF,-22.43,-151.33,77.29,25,11.43,65,77.29,1586917873
267,Lüderitz,NA,-26.65,15.16,59.0,2,10.29,62,59.0,1586917873
268,Hasaki,JP,35.73,140.83,64.49,40,5.82,39,66.99,1586917874
269,Gijang,KR,35.24,129.21,62.6,100,4.7,23,62.6,1586917874
270,Bloemfontein,ZA,-29.12,26.21,44.6,11,4.7,100,44.6,1586917728
271,Riyadh,SA,24.69,46.72,62.6,3,9.31,55,62.6,1586917874
272,Beloha,MG,-25.17,45.05,73.02,0,4.99,71,73.02,1586917540
273,Havre-St-Pierre,CA,50.23,-63.6,32.0,1,13.87,91,32.0,1586917350
274,Kavaratti,IN,10.57,72.64,83.97,23,4.07,70,83.97,1586917875
275,Inhambane,MZ,-23.86,35.38,76.05,8,9.46,86,76.05,1586917875
276,Mackenzie,CA,55.3,-123.17,46.4,75,2.57,49,46.4,1586917743
277,Poso,ID,-1.4,120.75,88.16,94,1.86,55,88.16,1586917875
278,Kurikka,FI,62.62,22.42,30.81,90,4.7,92,32.0,1586917876
279,Gmina Świecie,PL,53.41,18.45,37.42,90,12.75,60,39.99,1586917876
280,San Miguel de Cozumel,MX,20.51,-86.95,80.74,5,8.05,78,81.0,1586917876
281,Paamiut,GL,61.99,-49.67,28.49,99,10.2,90,28.49,1586917876
282,Souillac,MU,-20.52,57.52,77.49,75,14.99,74,78.8,1586917876
283,Pemangkat,ID,1.17,108.97,85.75,26,5.82,65,85.75,1586917876
284,Kirando,TZ,-7.42,30.6,72.82,100,7.14,67,72.82,1586917876
285,Banda Aceh,ID,5.56,95.32,86.02,9,5.44,67,86.02,1586917877
286,Okhotsk,RU,59.38,143.3,31.82,0,6.08,88,31.82,1586917412
287,Rodrigues Alves,BR,-7.74,-72.65,76.3,57,1.39,78,76.3,1586917877
288,Vila Franca do Campo,PT,37.72,-25.43,53.6,75,8.05,81,53.6,1586917611
289,Ca Mau,VN,9.18,105.15,87.71,100,13.11,62,87.71,1586917877
290,Bambous Virieux,MU,-20.34,57.76,77.47,75,14.99,74,78.8,1586917878
291,Québec,CA,46.81,-71.21,35.49,75,6.93,55,37.99,1586917879
292,Port Blair,IN,11.67,92.75,83.59,95,6.42,72,83.59,1586917879
293,Shīeli,KZ,44.17,66.75,49.42,0,8.88,42,49.42,1586917879
294,Kununurra,AU,-15.77,128.73,93.2,13,6.93,30,93.2,1586917879
295,Ribeira Grande,PT,38.52,-28.7,50.0,40,11.41,76,50.0,1586917879
296,Dongsheng,CN,39.82,109.98,52.39,100,14.09,22,52.39,1586917880
297,Port-Cartier,CA,50.03,-66.87,33.91,20,16.11,47,34.0,1586917880
298,Fare,PF,-16.7,-151.02,84.04,27,2.89,63,84.04,1586917880
299,Kichera,RU,55.94,110.1,44.8,0,2.06,43,44.8,1586917880
300,Sola,VU,-13.88,167.55,82.51,100,15.28,78,82.51,1586917365
301,Castro,BR,-24.79,-50.01,52.66,0,2.93,65,52.66,1586917880
302,Vao,NC,-22.67,167.48,74.66,90,13.49,74,74.66,1586917880
303,Acapulco de Juárez,MX,16.86,-99.89,77.0,5,9.17,88,77.0,1586917747
304,Stralsund,DE,54.31,13.08,42.96,75,16.11,70,43.0,1586917881
305,Ohangaron,UZ,40.91,69.64,51.8,100,4.7,66,51.8,1586917881
306,Polunochnoye,RU,60.87,60.42,36.27,100,4.21,93,36.27,1586917881
307,Am Timan,TD,11.03,20.28,78.98,55,7.09,14,78.98,1586917881
308,Kirakira,SB,-10.45,161.92,86.58,82,9.17,68,86.58,1586917881
309,Coos Bay,US,43.37,-124.22,51.96,1,18.34,81,55.0,1586917593
310,Tayoltita,MX,24.08,-105.93,62.89,65,2.28,21,62.89,1586917882
311,Ilovlya,RU,49.3,43.98,44.29,98,13.42,70,44.6,1586917882
312,Diplo,PK,24.47,69.58,82.99,92,15.12,56,82.99,1586917882
313,Mitú,CO,1.2,-70.17,75.96,99,2.26,73,75.96,1586917862
314,Daru,PG,-9.08,143.21,84.56,88,10.78,75,84.56,1586917291
315,George Town,MY,5.41,100.34,86.77,20,2.91,74,87.8,1586917882
316,Esim,GH,4.87,-2.24,81.27,84,6.13,83,81.27,1586917883
317,Monsenhor Gil,BR,-5.56,-42.61,77.0,40,4.7,88,77.0,1586917883
318,Ville-Marie,CA,47.33,-79.43,30.2,90,5.82,68,30.2,1586917883
319,San Patricio,MX,19.22,-104.7,77.0,40,4.79,73,77.0,1586917362
320,Spring Valley,US,36.11,-115.25,63.25,1,9.17,9,66.99,1586917883
321,Tuatapere,NZ,-46.13,167.68,46.99,100,4.0,95,46.99,1586917549
322,Pierre,US,44.37,-100.35,24.8,40,5.82,73,24.8,1586917201
323,Singleton,AU,-32.57,151.18,80.87,29,6.93,50,84.0,1586917884
324,Narganá,PA,9.44,-78.59,79.9,42,4.83,78,79.9,1586917884
325,Ixtapa,MX,20.7,-105.2,71.6,5,4.7,73,71.6,1586917884
326,Mugan,CN,35.94,101.38,60.1,0,3.94,11,60.1,1586917884
327,Kokoda,PG,-8.88,147.74,88.59,88,2.53,47,88.59,1586917884
328,Touros,BR,-5.2,-35.46,80.6,79,2.24,88,80.6,1586917884
329,Bethanien,NA,-26.5,17.16,49.08,70,1.14,32,49.08,1586917885
330,Nouakchott,MR,18.09,-15.98,68.0,56,13.87,77,68.0,1586917687
331,Barrafranca,IT,37.38,14.2,54.25,12,2.24,71,57.2,1586917885
332,Codrington,AU,-38.27,141.97,71.8,100,17.52,37,71.8,1586917885
333,Talara,PE,-4.58,-81.27,74.98,1,2.93,74,74.98,1586917510
334,Goundam,ML,16.41,-3.67,78.21,100,17.67,48,78.21,1586917885
335,Gizo Government Station,SB,-8.1,156.84,84.36,88,8.88,77,84.36,1586917352
336,Nur-Sultan,KZ,51.18,71.45,39.2,75,13.42,80,39.2,1586917886
